Jam,Tanggal,Jam Ke...,Nama_Guru,Rombel,Mata_Pelajaran,Materi,Catatan,Kehadiran_Siswa
16:12:13,23-07-2026,Jam Ke-5 s.d. Jam Ke-6,ID20548137197001,Kelas 6A,Bahasa Inggris,Tell about healthy vegetables,-,"H: 23, S: 0, I: 0, A: 0"
16:12:34,23-07-2026,Jam Ke-7 s.d. Jam Ke-8,ID20548137197001,Kelas 6B,Bahasa Inggris,Tell about healthy vegetables,-,"H: 22, S: 0, I: 0, A: 0"
11:49:23,25-07-2026,Jam Ke-1 s.d. Jam Ke-2,ID20548137203001,Kelas 4A,Baca Tulis Al Qur'an,Makhorijul huruf,-,"H: 20, S: 1, I: 1, A: 0"
11:51:55,25-07-2026,Jam Ke-3 s.d. Jam Ke-4,ID20548137188001,Kelas 3B,Bahasa Jawa,"Swara:
Swara jejeg lan swara miring","Kondisi kelas cukup kondusif. Anak-anak mengikuti pelajaran dengan baik dan sesuai arahan.
Ada beberapa kurang faham namun bisa teratasi.","H: 26, S: 0, I: 0, A: 0"
11:57:54,25-07-2026,Jam Ke-2 s.d. Jam Ke-4,1758756658200012,Kelas 1A,PJOK,Gerak dasar,-,"H: 20, S: 0, I: 0, A: 0"
19:48:30,24-07-2026,Jam Ke-3 s.d. Jam Ke-4,ID20548137197001,Kelas 4B,Bahasa Inggris,Pronouncing English Letters,-,"H: 21, S: 1, I: 0, A: 0"
19:48:03,24-07-2026,Jam Ke-1 s.d. Jam Ke-2,ID20548137197001,Kelas 4A,Bahasa Inggris,Pronouncing English Letters,-,"H: 22, S: 0, I: 0, A: 0"
08:07:07,27-07-2026,Jam Ke-7 s.d. Jam Ke-8,5942759661300032,Kelas 5A,Akidah Akhlak,Keutamaan membaca kalimat hauqalah ,-,"H: 22, S: 2, I: 1, A: 0"
08:13:22,27-07-2026,Jam Ke-1 s.d. Jam Ke-4,ID20549574196001,Kelas 3A,Bahasa Indonesia,"Cara menjadi teman yang baik.
Ciri-ciri teks eksposisi ",-,"H: 23, S: 0, I: 2, A: 1"
14:00:33,27-07-2026,Jam Ke-6 s.d. Jam Ke-8,ID20548137203001,Kelas 4A,Akidah Akhlak,Menulis bab 1 tentang iman kepada para nabi dan rasul ,Rifki tidak mau menulis ,"H: 21, S: 0, I: 0, A: 1"
13:54:28,27-07-2026,Jam Ke-1 s.d. Jam Ke-2,ID20548137193001,Kelas 4B,Bahasa Indonesia,Upacara bendera,-,"H: 18, S: 2, I: 2, A: 0"
15:10:38,28-07-2026,Jam Ke-5 s.d. Jam Ke-6,ID20548137197001,Kelas 5A,Al Qur'an Hadis,Surat Al Adiyat,-,"H: 24, S: 0, I: 0, A: 1"
08:36:26,28-07-2026,Jam Ke-1 s.d. Jam Ke-2,ID20548137197001,Kelas 3A,Al Qur'an Hadis,Qalqalah Kubra,-,"H: 26, S: 0, I: 0, A: 0"
11:03:56,28-07-2026,Jam Ke-8,ID20548137197002,Kelas 6B,Akidah Akhlak,Memahami bacaan istighfar ,-,"H: 22, S: 0, I: 0, A: 0"
09:07:19,28-07-2026,Jam Ke-3 s.d. Jam Ke-4,ID20548137197001,Kelas 3B,Al Qur'an Hadis,Qalqalah Kubra,-,"H: 26, S: 0, I: 0, A: 0"
12:43:57,28-07-2026,Jam Ke-3 s.d. Jam Ke-6,ID20548137197004,Kelas 2A,Matematika,Nilai tempat ,-,"H: 20, S: 0, I: 0, A: 1"
13:59:32,28-07-2026,Jam Ke-3 s.d. Jam Ke-4,ID20548137193001,Kelas 4B,Bahasa Indonesia,Menulis surat dengan huruf tegak bersambung,-,"H: 22, S: 0, I: 0, A: 0"
15:11:42,27-07-2026,Jam Ke-5 s.d. Jam Ke-6,ID20548137197001,Kelas 6B,Al Qur'an Hadis,Pengertian Hukum Tajwid,-,"H: 22, S: 0, I: 0, A: 0"
15:12:03,27-07-2026,Jam Ke-7 s.d. Jam Ke-8,ID20548137197001,Kelas 6A,Al Qur'an Hadis,Pengertian Hukum Tajwid,-,"H: 23, S: 0, I: 0, A: 0"
06:54:01,28-07-2026,Jam Ke-2 s.d. Jam Ke-4,ID20548137203001,Kelas 4A,Matematika,Membandingkan bilangan cacah sampai 10.000,-,"H: 22, S: 0, I: 0, A: 0"
09:47:59,29-07-2026,Jam Ke-1 s.d. Jam Ke-2,ID20548137197001,Kelas 5A,Bahasa Inggris,"Different use of ""a or an""",-,"H: 25, S: 0, I: 0, A: 0"
18:43:04,29-07-2026,Jam Ke-7 s.d. Jam Ke-8,ID20548137197001,Kelas 4A,Al Qur'an Hadis,Hukum Bacaan Izhar,-,"H: 21, S: 1, I: 0, A: 0"
08:43:39,29-07-2026,Jam Ke-3 s.d. Jam Ke-6,ID20548137197004,Kelas 2A,Pendidikan Pancasila,Sikap mematuhi aturan ,-,"H: 20, S: 1, I: 0, A: 0"
11:02:24,29-07-2026,Jam Ke-8,ID20548137197002,Kelas 6B,Bahasa Indonesia,Memahami cara mencari informasi penting ,Memahami cara mencari informasi penting di teks eksplanasi ,"H: 22, S: 0, I: 0, A: 0"
12:42:47,29-07-2026,Jam Ke-6 s.d. Jam Ke-7,ID20548137196002,Kelas 6A,Sejarah Kebudayaan Islam,Menelusuri Dakwah Sunan Gresik (Maulana Malik Ibrahim),-,"H: 23, S: 0, I: 0, A: 0"
18:27:36,29-07-2026,Jam Ke-3 s.d. Jam Ke-4,ID20548137197001,Kelas 5B,Bahasa Inggris,"Different use of ""a or an"" ",-,"H: 25, S: 0, I: 0, A: 0"
18:42:44,29-07-2026,Jam Ke-5 s.d. Jam Ke-6,ID20548137197001,Kelas 4B,Al Qur'an Hadis,Hukum Bacaan Izhar,-,"H: 22, S: 0, I: 0, A: 0"
08:11:33,30-07-2026,Jam Ke-2 s.d. Jam Ke-4,ID20548137197002,Kelas 6B,Matematika,Memahami pembagian dalam bentuk pecahan ,Mampu memahami perbedaan perkalian dalam bentuk pecahan dan pembagian dalam bentuk pecahan ,"H: 22, S: 0, I: 0, A: 0"
12:28:57,30-07-2026,Jam Ke-1 s.d. Jam Ke-2,ID20548137197001,Kelas 4A,Al Qur'an Hadis,Hukum Bacaan Izhar Halqi,-,"H: 21, S: 1, I: 0, A: 0"
18:15:35,03-08-2026,Jam Ke-5 s.d. Jam Ke-6,ID20548137197001,Kelas 6B,Al Qur'an Hadis,Hukum Ra Tafkhim,-,"H: 0, S: 0, I: 0, A: 22"
18:16:11,03-08-2026,Jam Ke-7 s.d. Jam Ke-8,ID20548137197001,Kelas 6A,Al Qur'an Hadis,Hukum Ra' Tafkhim,-,"H: 23, S: 0, I: 0, A: 0"
07:45:53,04-08-2026,Jam Ke-1 s.d. Jam Ke-2,5942759661300032,Kelas 5A,Baca Tulis Al Qur'an,Menerapkan bacaan ikhfa dan iqlab pada bacaan Al-Quran ,-,"H: 23, S: 1, I: 1, A: 0"
,05-08-2026,,"Mohammad Andry Surya Hanafiah, S.Ag., M.Pd.",Kelas 5A,Bahasa Inggris,,,[Ljava.lang.Object;@263dae58
